hs12	103587273	103766719	hs11	11956207	12009769	color=positive
hs16	1790413	1794971	hs7	45912245	45921874	color=negative
hs3	52495338	52524495	hs9	92412380	92424471	color=positive
hs12	101745499	101830959	hs1	167529117	167553805	color=positive
hs12	101745499	101830959	hs6	122789049	122809720	color=positive
hs5	177600132	177610330	hs2	240435663	240468076	color=positive
hs17	7173431	7179564	hs12	53191323	53207282	color=positive
hs1	152106317	152115444	hs8	81458253	81461579	color=positive
hs12	101745499	101830959	hs4	75913660	75941013	color=positive
hs17	7173431	7179564	hs12	7470811	7503893	color=positive
hs12	103587273	103766719	hs4	54229280	54298245	color=positive
hs16	67939750	67944131	hs12	88492793	88580851	color=negative
hs12	101745499	101830959	hs11	6390440	6394998	color=positive
hs17	7173431	7179564	hs19	51124906	51136651	color=positive
hs1	152302165	152325239	hs20	45123425	45124465	color=positive
hs12	101745499	101830959	hs20	58985686	59008238	color=positive
hs12	101745499	101830959	hs16	68245304	68261058	color=positive
hs3	52495338	52524495	hs17	30248203	30292056	color=positive
hs12	101745499	101830959	hs9	137110546	137115177	color=positive
hs12	103587273	103766719	hs14	74498183	74612378	color=positive
hs12	101745499	101830959	hs22	50622754	50628173	color=positive
hs16	67170154	67175735	hs17	49223366	49230787	color=negative
hs17	7173431	7179564	hs7	142941114	142962363	color=positive
hs12	101745499	101830959	hs3	32996609	33097202	color=positive
hs12	101745499	101830959	hs11	82822936	82970584	color=positive
hs12	101745499	101830959	hs4	155921580	155953912	color=positive
hs16	31259967	31332892	hs21	44885953	44931989	color=negative
hs3	52495338	52524495	hs12	44508275	44921848	color=positive
hs3	52495338	52524495	hs1	21217247	21345572	color=positive
hs12	101745499	101830959	hs11	66563464	66568879	color=positive
hs17	7173431	7179564	hs2	203706475	203738912	color=positive
hs6	24424565	24495205	hs9	130172404	130237303	color=negative
hs20	3686970	3712600	hs19	55488404	55519099	color=positive
hs3	52495338	52524495	hs5	54977867	55022671	color=positive
hs17	7173431	7179564	hsX	153861514	153886173	color=positive
hs3	52495338	52524495	hs14	74498183	74612378	color=positive
hs19	48748011	48755390	hs1	43300982	43323108	color=positive
hs17	7173431	7179564	hs10	73909177	73917496	color=positive
hs12	101745499	101830959	hs11	6612768	6619448	color=positive
hs12	101745499	101830959	hs7	65960684	65982215	color=positive
hs12	459939	563509	hs11	20669551	21575686	color=positive
hs17	7173431	7179564	hs8	16107878	16567490	color=positive
hs12	103587273	103766719	hs1	100719742	100739045	color=positive
hs17	7173431	7179564	hs20	3686970	3712600	color=positive
hs3	52495338	52524495	hs1	168695468	168729206	color=positive
hs3	52495338	52524495	hs2	205681990	205798133	color=positive
hs17	7173431	7179564	hs5	79991311	80083287	color=positive
hs12	101745499	101830959	hs4	986997	1004564	color=positive
hs1	36466043	36483278	hs17	40015361	40017813	color=positive
hs17	7173431	7179564	hs17	64002594	64020634	color=positive
hs1	223701593	223776018	hs12	57604622	57609804	color=negative
hs17	7173431	7179564	hs17	64449037	64468643	color=positive
hs12	101745499	101830959	hs11	88265069	88359684	color=positive
hs17	7173431	7179564	hs19	14380501	14408725	color=positive
hs16	5024844	5034141	hs7	28995235	29195451	color=positive
hs3	52495338	52524495	hs19	15159038	15200995	color=positive
hs9	104781006	104928155	hs12	88492793	88580851	color=negative
hs3	52495338	52524495	hs10	101061989	101068131	color=positive
hs17	7173431	7179564	hs21	44885953	44931989	color=positive
hs3	45940933	45948351	hs17	4733533	4739928	color=positive
hs17	7173431	7179564	hs5	156919292	156963226	color=positive
hs1	152302165	152325239	hs6	31115087	31120446	color=positive
hs17	7173431	7179564	hs1	160830160	160862887	color=positive
hs17	7173431	7179564	hs5	55935095	55995022	color=positive
hs17	7173431	7179564	hs1	116514534	116571039	color=positive
hs17	7173431	7179564	hs19	10333776	10339661	color=positive
hs3	52495338	52524495	hs2	36355778	36551135	color=positive
hs17	7173431	7179564	hs1	207453024	207489895	color=positive
hs17	7173431	7179564	hs16	31259967	31332892	color=positive
hs17	7173431	7179564	hs1	160678746	160711831	color=positive
hs17	7173431	7179564	hs19	14732392	14778560	color=positive
hs19	12646511	12666742	hs9	87724051	87731469	color=negative
hs3	52495338	52524495	hs1	171635417	171652688	color=positive
hs12	103587273	103766719	hs2	36355778	36551135	color=positive
hs12	101745499	101830959	hs8	63014881	63039407	color=positive
hs6	143494812	143511720	hs1	23845077	23868290	color=negative
hs19	48748011	48755390	hs16	66366622	66404784	color=positive
hs17	62627670	62693597	hs6	169215780	169254050	color=positive
hs9	132261356	132354986	hs4	73431138	73456174	color=positive
hs12	101745499	101830959	hs5	78777209	78986087	color=positive
hs12	103587273	103766719	hs19	50723364	50725708	color=positive
hs12	103587273	103766719	hs1	175315194	175743616	color=positive
hs14	80954989	81146306	hs1	115029826	115034302	color=positive
hs4	105145875	105279816	hs19	49474207	49486231	color=negative
hs17	7173431	7179564	hs6	47231532	47309905	color=positive
hs17	7173431	7179564	hs5	38474668	38608354	color=positive
hs17	7173431	7179564	hs20	45898621	45912155	color=positive
hs12	101745499	101830959	hs6	166922113	166957191	color=positive
hs21	45405165	45513720	hs13	110148963	110307157	color=positive
hs17	7173431	7179564	hs15	74100311	74138540	color=positive
hs13	103043998	103066417	hs1	167052836	167166479	color=negative
hs13	103043998	103066417	hs2	47345158	47387601	color=negative
hs17	7173431	7179564	hs2	159803355	159904756	color=positive
hs19	11377207	11384342	hs7	100720468	100723700	color=positive
hs17	7173431	7179564	hs19	54617158	54638022	color=positive
hs17	7173431	7179564	hs5	35852695	35879603	color=positive
hs12	101745499	101830959	hs14	92703807	92748679	color=positive
hs19	48748011	48755390	hs9	27109141	27230174	color=positive
hs17	7173431	7179564	hs2	118942194	118994660	color=positive
hs17	7173431	7179564	hs17	74541073	74546115	color=positive
hs2	32224453	32265732	hs11	112143253	112164096	color=negative
hs3	52495338	52524495	hs1	109309568	109397918	color=positive
hs17	3714628	3801188	hs12	53191323	53207282	color=negative
hs17	7173431	7179564	hs10	32887273	33005792	color=positive
hs6	159969082	160113507	hs4	155921580	155953912	color=positive
hs12	103587273	103766719	hs20	13221274	13300651	color=positive
hs17	7173431	7179564	hs19	35319261	35347361	color=positive
hs12	103587273	103766719	hs16	30423615	30430030	color=positive
hs20	3686970	3712600	hs9	127087348	127122635	color=positive
hs17	7173431	7179564	hs2	186590010	186680901	color=positive
hs12	101745499	101830959	hs11	1752752	1764573	color=positive
hs3	52495338	52524495	hs16	14672548	14694308	color=positive
hs6	24424565	24495205	hs12	68842197	68971570	color=negative
hs3	52495338	52524495	hs4	87975667	87983532	color=positive
hs17	7173431	7179564	hs9	5510531	5571282	color=positive
hs17	7173431	7179564	hs19	18782773	18791305	color=positive
hs17	7173431	7179564	hs15	41557675	41583589	color=positive
hs17	7173431	7179564	hs1	160739057	160754821	color=positive
hs4	105145875	105279816	hs1	158289923	158294774	color=positive
